AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
1472874,Neptunia Virtual Stars - Game Club Project Pack,dlc,Gain items and accessories inspired by Vtuber group &quot;Game Club Project&quot;. ・Themed recovery items x 50 (per Vtuber) ・Themed masks x 3 (per Vtuber) ・Themed accessories x 3 (per Vtuber) ・Special &quot;X&quot; Cube for each member of &quot;Game Club Project&quot;,"Idea Factory, Compile Heart",,"29 Apr, 2021",Casual,Online Multi-Player,English,No,0,USD,3.99,linux
1472876,Neptunia Virtual Stars - Maoh Magrona Pack,dlc,"Gain items and accessories inspired by Vtuber Maoh Magrona. ・Maoh Magrona-themed recovery items x 50 ・Maoh Magrona Mask x 3 ・Maoh Magrona-themed accessories x 3 ・Special Cube &quot;Maoh Magrona X&quot; x 1 *In order to receive &quot;Maoh Magrona X&quot;, you need to have rescued the respective Vtuber first.","Idea Factory, Compile Heart",,"29 Apr, 2021",Adventure,Multi-player,English,No,0,USD,3.99,windows
1472877,Neptunia Virtual Stars - Tomari Mari Pack,dlc,"Gain items and accessories inspired by Vtuber Tomari Mari. ・Tomari Mari-themed recovery items x 50 ・Tomari Mari Mask x 3 ・Tomari Mari-themed accessories x 3 ・Special Cube &quot;Tomari Mari X&quot; x 1 *In order to receive &quot;Tomari Mari X&quot;, you need to have rescued the respective Vtuber first.","Idea Factory, Compile Heart",,"29 Apr, 2021",Casual,Co-op,English,No,0,USD,3.99,linux
1472879,Neptunia Virtual Stars - Tenjin Kotone Pack,dlc,"Gain items and accessories inspired by Vtuber Tenjin Kotone. ・Tenjin Kotone-themed recovery items x 50 ・Tenjin Kotone Mask x 3 ・Tenjin Kotone-themed accessories x 3 ・Special Cube &quot;Tenjin Kotone X&quot; x 1 *In order to receive &quot;Tenjin Kotone X&quot;, you need to have rescued the respective Vtuber first.","Idea Factory, Compile Heart",,"29 Apr, 2021",RPG,Single-player,English,No,0,USD,3.99,linux
1472890,Neptunia Virtual Stars - INSIDEChan Sisters Pack,dlc,Gain items and accessories inspired by Vtuber group &quot;INSIDEChan Sisters&quot;. ・Themed recovery items x 50 (per Vtuber) ・Themed masks x 3 (per Vtuber) ・Themed accessories x 3 (per Vtuber) ・Special &quot;X&quot; Cube for each member of &quot;INSIDEChan Sisters&quot;,"Idea Factory, Compile Heart",,"29 Apr, 2021",Strategy,Single-player,English,No,0,USD,3.99,windows
1472891,Neptunia Virtual Stars - ReVdol! Pack,dlc,Gain items and accessories inspired by Vtuber group &quot;ReVdol!&quot;. ・Themed recovery items x 50 (per Vtuber) ・Themed masks x 3 (per Vtuber) ・Themed accessories x 3 (per Vtuber) ・Special &quot;X&quot; Cube for each member of &quot;ReVdol!&quot;,"Idea Factory, Compile Heart",,"29 Apr, 2021",Adventure,Online Multi-Player,English,No,0,USD,3.99,windows
1472896,Neptunia Virtual Stars - Hibiki Ao Pack,dlc,"Gain items and accessories inspired by Vtuber Hibiki Ao. ・Hibiki Ao-themed recovery items x 50 ・Hibiki Ao Mask x 3 ・Hibiki Ao-themed accessories x 3 ・Special Cube &quot;Hibiki Ao X&quot; x 1 *In order to receive &quot;Hibiki Ao X&quot;, you need to have rescued the respective Vtuber first.","Idea Factory, Compile Heart",,"29 Apr, 2021",Indie,Online Multi-Player,English,No,0,USD,3.99,linux
1472900,Dreadlands Demo,demo,"Welcome to Dreadlands! A perilous landscape brimming with potential in the form of Glow. Command one of 3 unique factions in this turn-based tactical RPG and play through their campaigns, be it solo or Co-Op, or battle it out in PvP. So far no one has tamed the Dreadlands. Will you be the first?",Blackfox Studios,Fatshark,"14 Nov, 2020",RPG,Online Multi-Player,English,Si,0,,0.00,windows
1472895,Neptunia Virtual Stars - Electronic Fairy Project x Kokounoakumu-Nightmare- Pack,dlc,Gain items and accessories inspired by Vtuber &quot;Electronic Fairy Project x Kokounoakumu-Nightmare-&quot;.,"Idea Factory, Compile Heart",Idea Factory International,"29 Apr, 2021",Action,Online Multi-Player,English,No,0,USD,3.99,windows
1472930,Flock,game,"Flock is a multiplayer co-op game about the joy of flight and collecting adorable flying creatures with your friends. Soar through beautiful landscapes, seeking out rare and elusive creatures to add to your flock.","Hollow Ponds, Richard Hogg",Annapurna Interactive,"16 Jul, 2024",Adventure,Multi-player,English,No,0,USD,19.99,windows
1472950,Hentai Forever,game,"Hentai Forever is a casual puzzle game, you need to move parts of the image to restore the drawing.",Boom Team,Boom Team,"18 Dec, 2020",RPG,Multi-player,English,No,0,USD,0.99,mac
1472970,TinyAttack,game,"Tiny Attack is an action roguelite game. Fight against hordes of enemies in procedurally-generated levels with distinctive themes. Loot items, defeat bosses in uniquely designed fights, and survive until you find the truth.",TinyBird Games,TinyBird Games,To be announced,Adventure,Multi-player,English,No,0,To be announced,To be announced,mac
1472960,Chill IV,game,"Chill is a relaxing, minimalist maze game.",ZELENIUK,ZELENIUK,"4 Dec, 2020",Strategy,Online Multi-Player,English,No,0,USD,0.99,mac
1472980,Rico-Ball Playtest,game,,,,"22 Dec, 2020",Casual,Local Multi-Player,English,No,0,,,windows
1472990,Welcome To... Chichester 2 - Part III : NightFall Playtest,game,,,,"16 Nov, 2020",Action,Single-player,English,No,0,,,windows
1473000,Lumber Party,game,An online or local multiplayer space monkey racing platformer. Fight your way to the top to grab the banana with tons of different ways to play.,Mr. Moo,Mr. Moo Games,"21 Dec, 2020",Strategy,Online Multi-Player,English,Si,0,,0.00,windows
1473070,Nova Genetics,game,Nova Genetics is open-world sci-fi zombie survival game. With focus on survivability/exploration and quick decision making. Should you try to run and live to fight another day or build outposts and fight against threat hordes.,Reside,ObligeNet,"26 Mar, 2021",Casual,Online Multi-Player,English,No,0,USD,14.99,windows
1473020,Fantasy Grounds - Pathfinder RPG - Campaign Setting: Inner Sea Combat,dlc,"Pathfinder RPG - Campaign Setting: Inner Sea Combat A World of Battle!From the brink of the Worldwound, where demonic hordes lay siege to the mortal realm, to the battlefields of Mendev and Nirmathas, where soldiers distinguish themselves as heroes of ideals, battle is a common part of life in the Inner Sea region.","SmiteWorks USA, LLC",,"9 Jan, 2024",Action,Multi-player,English,No,0,USD,19.99,linux
1473080,DeLight: The Journey Home - Chapter 2,dlc,DeLight: The Journey Home - Chapter 2,DreamTree Studio Sdn. Bhd.,DreamTree Studio Sdn. Bhd.,"19 Nov, 2020",Adventure,Single-player,English,No,0,USD,1.99,mac
1473010,"Fantasy Grounds - Pathfinder RPG - Campaign Setting: Osirion, Legacy of Pharaohs",dlc,"Pathfinder RPG - Campaign Setting: Osirion, Legacy of Pharaohs Secrets of the SandsIn the heart of the Inner Sea region stretches one of the oldest human empires still standing today: the mighty and mysterious land of pharaohs and pyramids known as Osirion.","SmiteWorks USA, LLC",,"16 Jan, 2024",RPG,Single-player,English,No,0,USD,19.99,mac
1473100,Guess Colors,game,Guess Colors is a minimalist puzzle game we used to play in the childhood.,Paulo Sigrist,Paulo Sigrist,"8 Dec, 2020",RPG,Co-op,English,No,0,USD,0.99,linux
1473110,THE CORRIDOR Playtest,game,,,,"14 Nov, 2020",Strategy,Single-player,English,No,0,,,linux
1473050,100 hidden birds,game,Hidden object game in the cartoon city style. Ultra hard! Really very difficult!,"Anatoliy Loginovskikh, Аlexandr Telminov",Anatoliy Loginovskikh,"2 Dec, 2020",Adventure,Online Multi-Player,English,No,0,USD,1.99,mac
1473120,Fantasy Grounds - Pathfinder RPG - Campaign Setting: Occult Mysteries,dlc,"Pathfinder RPG - Campaign Setting: Occult Mysteries The Terrible Truth!Every civilization has its big questions, those mysteries that have plagued generations of scholars. How did humanity rise from barbarism? Why did the gnomes leave the First World? Who are the string-pulling veiled masters?","SmiteWorks USA, LLC",,"9 Jan, 2024",RPG,Co-op,English,No,0,USD,19.99,mac
1473130,The Chaser's Voyage,game,Pilot the Chaser through dangerous interstellar terrain and shake off hostile pursuers in this 2D single-player space flight adventure. Survive the voyage with your oddball crew and transport clients to pay off your debt to a notorious pirate lord before it’s too late!,Bright at Midnight: A Game Studio,Bright at Midnight: A Game Studio,"17 Sep, 2021",Casual,Online Multi-Player,English,No,0,USD,19.99,windows
1473140,"Fantasy Grounds - Pathfinder RPG - Campaign Setting: Numeria, Land of Fallen Stars",dlc,"Pathfinder RPG - Campaign Setting: Numeria, Land of Fallen Stars Ruins from the StarsThousands of years ago, a massive spaceship from a distant world broke apart in the atmosphere above Golarion, showering down alien debris and technological wonders--an event known as the &quot;Rain of Stars&quot;--onto the plains of Numeria.","SmiteWorks USA, LLC",,"30 Jan, 2024",Adventure,Multi-player,English,No,0,USD,19.99,windows
1473180,This is Timmy,game,"While searching for his own path, home service robot Timmy finds himself trapped. Face deadly and challenging puzzles to find your way to freedom.","Maxim Kostin, Warren Clark",Maxim Kostin,Coming soon,Indie,Co-op,English,No,0,Coming soon,Coming soon,linux
